objectid,description,identifier,latitude,longitude
10370,English Ave & Saint Paul St,53406,39.759732,-86.123861
8710,36th St & Clifton St,50355,39.817402,-86.180882
10273,Main St & 10th Ave,53241,39.721589,-86.09354
9773,Delaware St & 25th St,52218,39.803323,-86.153037
9628,30th St & Baltimore Ave,51852,39.81072,-86.126502
8945,Washington St & Colorado Ave,50718,39.769646,-86.094883
7387,Alabama St & 09th St,10408,39.778957,-86.152168
9136,86th St - 2700 W - Brebeuf,50972,39.911812,-86.207155
8960,Washington St & Randolph St,50736,39.767526,-86.128715
7460,Post Rd & 30th St,10515,39.811836,-86.009616
8590,Post Rd & 38th St,50081,39.826668,-86.009842
8199,High School Rd & Commons Dr,12255,39.83206,-86.27058
9061,W Perimeter Rd - Wellpoint,50859,39.720347,-86.324119
9503,21st St & Catherwood Ave,51643,39.796268,-86.06121
7888,Keystone Ave & Gimber St,11727,39.727701,-86.120755
8118,16th St & Centennial St,12093,39.787786,-86.213773
7266,38th St & Whittier Pl,10201,39.825401,-86.075284
8518,US 31 & Thompson Rd,12974,39.692923,-86.148668
7188,38th St & Sheridan Ave,10050,39.825606,-86.05979
9735,86th St & Woodfield Crossing Blvd,52070,39.912303,-86.122285
8613,Shadeland Ave & 65th St,50108,39.876389,-86.046219
9920,Illinois St & Private Dr - Riviera Club,52549,39.856619,-86.159632
9693,30th St & Olney St,51940,39.810809,-86.107259
9258,Arlington Ave & 20th St,51156,39.794841,-86.064323
9077,MLK St & 11th St,50901,39.781963,-86.168287
8624,Arlington Ave & Meadowlark Dr,50120,39.835647,-86.065053
10388,University Ave & Butler Ave,53432,39.765798,-86.079509
8499,US 31 & Stop 12 Rd,12954,39.645015,-86.13374
9673,30th St & Shadeland Ave,51912,39.810999,-86.047283
8841,16th St & Alabama St,50557,39.788364,-86.152358
8231,Georgetown Rd & 34th St,12289,39.815587,-86.240041
7761,10th St & Ardsley Dr,10998,39.778864,-86.311106
8259,Mann Rd & Mooresville Rd,12358,39.713196,-86.238524
7524,Fort Wayne Ave & 09th St,10605,39.779309,-86.15133
10144,Madison Ave & Stop 12 Rd,52947,39.643963,-86.120019
7968,Keystone Ave & 38th St,11829,39.824967,-86.121922
10004,Georgetown Rd & 71st St,52736,39.880733,-86.244225
9842,71st St & Shadeland Ave,52333,39.883486,-86.045834
