X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.2331580003041,39.8222889996784,7364,Lafayette Rd 3750 N,10350,39.822289,-86.233158
-86.220593000302,39.8235190002214,7365,38th St & Guion Rd,10351,39.823519,-86.220593
-86.197946000058,39.8243769997809,7366,38th St & Cold Spring Rd,10352,39.824377,-86.197946
-86.1844630002884,39.8245039997733,7367,38th St & Private Dr,10353,39.824504,-86.184463
-86.1714339998814,39.8246959996873,7368,38th St & Clarendon Rd,10355,39.824696,-86.171434
-86.1696260003877,39.8247149999659,7369,38th St & Byram Ave,10356,39.824715,-86.169626
-86.1677959994255,39.8247229996549,7370,38th St & Rookwood Ave,10357,39.824723,-86.167796
-86.1659869995993,39.8247279997529,7371,38th St & Cornelius Ave,10358,39.824728,-86.165987
-86.1637329996948,39.8247209996277,7372,38th St & Boulevard Pl,10359,39.824721,-86.163733
-86.1596369995079,39.8249530000431,7373,38th St & Kenwood Ave,10360,39.824953,-86.159637
-86.1631329998549,39.8249380004075,7374,38th St & Boulevard Pl,10361,39.824938,-86.163133
-86.2685190005204,39.8236509998873,7375,38th St & High School Rd,10362,39.823651,-86.268519
-86.2430430000746,39.8238240002873,7376,38th St - 4945 W,10363,39.823824,-86.243043
-86.160621999825,39.8247539999871,7377,38th St & Capitol Ave,10364,39.824754,-86.160622
-86.1570329994512,39.8247909998016,7378,38th St & Meridian St,10365,39.824791,-86.157033
-86.1655969995284,39.824924999768,7379,38th St & Cornelius Ave,10366,39.824925,-86.165597
-86.1692099999669,39.8249090003879,7380,38th St & Byram Ave,10367,39.824909,-86.16921
-86.1543409997225,39.7687770000777,7381,Delaware St & Market St,10400,39.768777,-86.154341
-86.1542539998657,39.7710420001019,7382,Delaware St & New York St,10401,39.771042,-86.154254
-86.1541919997463,39.7723819999286,7383,Delaware St & Vermont St,10402,39.772382,-86.154192
-86.1541380001372,39.773747000198,7384,Delaware St & Michigan St,10403,39.773747,-86.154138
-86.152285000392,39.7758709997047,7385,Alabama St & North St,10405,39.775871,-86.152285
-86.1521810003575,39.7777679998224,7386,Alabama St & Saint Clair Ct,10407,39.777768,-86.152181
-86.1521680004599,39.7789569996006,7387,Alabama St & 09th St,10408,39.778957,-86.152168
-86.1520879998735,39.780846000196,7388,Alabama St & Puryear St,10410,39.780846,-86.152088
-86.1521240005698,39.7828279999239,7389,Alabama St & 12th St,10411,39.782828,-86.152124
-86.1521420003393,39.7843769995982,7390,Alabama St & 13th St,10412,39.784377,-86.152142
-86.1521339996397,39.7873909999692,7391,Alabama St & 15th St,10413,39.787391,-86.152134
-86.1522000003371,39.7886839999167,7392,Alabama St & 16th St,10414,39.788684,-86.1522
-86.1522819999158,39.7906930003871,7393,Alabama St & 17th St,10415,39.790693,-86.152282
-86.1522809996751,39.7929960003968,7394,Alabama St & 19th St,10416,39.792996,-86.152281
-86.1523069997551,39.795728000087,7395,Alabama St & 21st St,10417,39.795728,-86.152307
-86.1523250000648,39.7972570003851,7396,Alabama St & 22nd St,10418,39.797257,-86.152325
-86.1497169997998,39.7974069998525,7397,22nd St & Central Ave,10419,39.797407,-86.149717
-86.1481949994619,39.7975669996905,7398,22nd St & Park Ave,10420,39.797567,-86.148195
-86.1465160004969,39.7976269999782,7399,22nd St & Broadway St,10421,39.797627,-86.146516
-86.1446889998926,39.7979910000196,7400,College Ave & 22nd St,10422,39.797991,-86.144689
-86.1447289994607,39.8011670001242,7401,College Ave & 24th St,10424,39.801167,-86.144729
-86.1447190003829,39.8029300004357,7402,College Ave & 25th St,10425,39.80293,-86.144719
-86.1447350003941,39.806787000341,7403,College Ave & 28th St,10428,39.806787,-86.144735
-86.1448660003281,39.8102180004197,7404,College Ave & 30th St,10429,39.810218,-86.144866
-86.1440699994491,39.810352999941,7405,30th St & Fall Creek Pkwy N Dr,10430,39.810353,-86.14407
-86.1415639996657,39.8109999995844,7406,Sutherland Ave & 30th St,10431,39.811,-86.141564
-86.1411340003887,39.8130989999938,7407,Sutherland Ave & 32nd St,10432,39.813099,-86.141134
